x;y;ST10;ST10M;ST20;ST20M;STDEV
62;3,37464062;4,337069642;3,087139723;4,7313487;3,367788789;0,568149963
63;4,251592769;5,301717005;4,051787087;5,783691278;4,420131367;0,568149963
64;3,860409311;4,871415201;3,621485282;5,314271128;3,950711217;0,568149963
65;3,493379294;4,467682183;3,217752265;4,873835109;3,510275198;0,568149963
66;4,570060042;5,652031005;4,402101087;6,165852006;4,802292095;0,568149963
67;3,210220941;4,156207995;2,906278076;4,534045085;3,170485174;0,568149963
68;4,143692291;5,183026479;3,933096561;5,654210704;4,290650793;0,568149963
69;3,94669019;4,966324169;3,71639425;5,417808184;4,054248273;0,568149963
70;4,118954397;5,155814796;3,905884877;5,624525232;4,260965321;0,568149963
71;3,688006712;4,681772343;3,431842424;5,10738801;3,743828099;0,568149963
72;3,513974412;4,490336812;3,240406893;4,898549249;3,534989338;0,568149963
73;3,544119975;4,523496932;3,273567014;4,934723926;3,571164015;0,568149963
74;3,493862137;4,46821331;3,218283391;4,87441452;3,510854608;0,568149963
75;4,988518125;6,112334896;4,862404978;6,668001705;5,304441794;0,568149963
76;4,515822025;5,592369186;4,342439268;6,100766385;4,737206474;0,568149963
77;4,510498833;5,586513676;4,336583757;6,094378555;4,730818644;0,568149963
78;3,520398395;4,497403194;3,247473275;4,906258029;3,542698118;0,568149963
79;3,529241067;4,507130133;3,257200215;4,916869236;3,553309325;0,568149963
80;3,024422596;3,951829815;2,701899897;4,311087071;2,94752716;0,568149963
81;3,662217789;4,653404527;3,403474609;5,076441303;3,712881392;0,568149963
82;4,687042175;5,780711352;4,530781434;6,306230566;4,942670655;0,568149963
83;3,523004619;4,50027004;3,250340122;4,909385499;3,545825588;0,568149963
84;3,767274775;4,768967211;3,519037293;5,202509685;3,838949774;0,568149963
85;3,275285417;4,227778918;2,977848999;4,612122456;3,248562545;0,568149963
86;4,574007534;5,656373247;4,406443328;6,170588996;4,807029085;0,568149963
87;3,568649336;4,550479228;3,30054931;4,964159158;3,600599247;0,568149963
88;3,941511596;4,960627714;3,710697796;5,41159387;4,048033959;0,568149963
89;4,582121473;5,66529858;4,415368661;6,180325724;4,816765812;0,568149963
90;4,361547194;5,422666872;4,172736954;5,915636588;4,552076677;0,568149963
91;4,151539397;5,191658296;3,941728377;5,663627232;4,300067321;0,568149963
92;4,815323449;5,921820754;4,671890835;6,460168095;5,096608184;0,568149963
93;4,642046249;5,731215833;4,481285914;6,252235454;4,888675543;0,568149963
94;3,01929241;3,946186611;2,696256692;4,304930848;2,941370937;0,568149963
95;4,442687797;5,511921536;4,261991617;6,013005312;4,649445401;0,568149963
96;4,584378803;5,667781643;4,417851724;6,183034519;4,819474608;0,568149963
97;4,543289344;5,622583238;4,37265332;6,133727169;4,770167258;0,568149963
98;3,278435058;4,231243523;2,981313604;4,615902025;3,252342114;0,568149963
99;4,061026274;5,092093861;3,842163942;5,555011484;4,191451573;0,568149963
100;3,939525566;4,958443082;3,708513163;5,409210635;4,045650723;0,568149963

